keys,en,de,zh_CN,fr,zh_TW,ja,ko,es,es_MX,pt_PT,pt_BR,ru
return_to_app_title,Welcome back!,Willkommen zurück!,欢迎回来！,Bon retour !,歡迎回來！,おかえりなさい！,돌아오신 걸 환영합니다!,¡Bienvenido de nuevo!,¡Bienvenido de nuevo!,Bem-vindo de volta!,Bem-vindo de volta!,С возвращением!
return_to_app_seconds_credited_format,You were away for %d minutes.,Du warst %d Minuten weg.,你离开了 %d 分钟。,Vous avez été absent %d minutes.,你離開了 %d 分鐘。,%d 分間留守にしていました。,%d분 동안 자리를 비우셨습니다.,Has estado fuera %d minutos.,Estuviste fuera %d minutos.,Estiveste ausente %d minutos.,Você ficou ausente por %d minutos.,Вас не было %d мин.
return_to_app_gold_earned_format,+%d gold earned,+%d Gold verdient,+%d 金币,+%d or gagné,+%d 金幣,+%d ゴールド獲得,+%d 골드 획득,+%d de oro ganado,+%d de oro ganado,+%d de ouro ganho,+%d de ouro ganho,Получено золота: +%d
return_to_app_kills_format,%d enemies defeated,%d Gegner besiegt,击败 %d 个敌人,%d ennemis vaincus,擊敗 %d 個敵人,%d 体の敵を撃破,적 %d마리 처치,%d enemigos derrotados,%d enemigos derrotados,%d inimigos derrotados,%d inimigos derrotados,Побеждено врагов: %d
return_to_app_floors_format,%d floors cleared,%d Ebenen geschafft,通关 %d 层,%d étages franchis,通關 %d 層,%d 階を踏破,%d개 층 클리어,%d plantas superadas,%d pisos superados,%d pisos concluídos,%d andares concluídos,Пройдено этажей: %d
return_to_app_cap_reached_notice_format,(Capped at %d hours offline.),(Begrenzt auf %d Stunden offline.),（离线收益上限为 %d 小时。）,(Limité à %d heures hors ligne.),（離線收益上限為 %d 小時。）,（オフライン報酬は %d 時間が上限です。）,(오프라인 보상은 %d시간으로 제한됩니다.),(Máximo de %d horas sin conexión.),(Máximo de %d horas sin conexión.),(Limitado a %d horas offline.),(Limitado a %d horas offline.),(Максимум %d ч. офлайн.)
return_to_app_acknowledge_button,Continue,Weiter,继续,Continuer,繼續,続ける,계속,Continuar,Continuar,Continuar,Continuar,Продолжить
return_to_app_no_summary_fallback,No recent rewards to summarize.,Keine neuen Belohnungen zusammenzufassen.,暂无可汇总的奖励。,Aucune récompense récente à résumer.,暫無可彙總的獎勵。,まとめる報酬はありません。,요약할 최근 보상이 없습니다.,No hay recompensas recientes que resumir.,No hay recompensas recientes que resumir.,Não há recompensas recentes para resumir.,Não há recompensas recentes para resumir.,Нет новых наград для сводки.
recruit_error_insufficient_gold,Not enough gold.,Nicht genug Gold.,金币不足。,Or insuffisant.,金幣不足。,ゴールドが足りません。,골드가 부족합니다.,No tienes suficiente oro.,No tienes suficiente oro.,Ouro insuficiente.,Ouro insuficiente.,Недостаточно золота.
recruit_error_roster_full,Roster full.,Kader voll.,队伍已满。,Effectif complet.,隊伍已滿。,ロスターが満員です。,로스터가 가득 찼습니다.,Plantilla llena.,Plantilla llena.,Equipa cheia.,Equipe cheia.,Состав заполнен.
recruit_error_unresolvable_class,This class is no longer available.,Diese Klasse ist nicht mehr verfügbar.,该职业已不可用。,Cette classe n'est plus disponible.,此職業已不再可用。,このクラスは現在利用できません。,이 직업은 더 이상 사용할 수 없습니다.,Esta clase ya no está disponible.,Esta clase ya no está disponible.,Esta classe já não está disponível.,Esta classe não está mais disponível.,Этот класс больше недоступен.
recruit_owned_format,(owned: %d),(im Besitz: %d),（已拥有：%d）,(possédés : %d),（已擁有：%d）,（所持：%d）,(보유: %d),(tienes: %d),(tienes: %d),(em posse: %d),(em posse: %d),(в наличии: %d)
hero_detail_level_up_format,Level Up — %s gold,Stufenaufstieg — %s Gold,升级 — %s 金币,Améliorer — %s or,升級 — %s 金幣,レベルアップ — %s ゴールド,레벨 업 — %s 골드,Subir de nivel — %s de oro,Subir de nivel — %s de oro,Subir de nível — %s de ouro,Subir de nível — %s de ouro,Повысить уровень — %s золота
hero_detail_owned_format,(%d %s total),(%d %s insgesamt),（共 %d 名 %s）,(%d %s au total),（共 %d 名 %s）,（%d 名の %s）,(총 %d명의 %s),(%d %s en total),(%d %s en total),(%d %s no total),(%d %s no total),(всего %d %s)
hero_detail_xp_capped,MAX LEVEL,MAX. STUFE,满级,NIVEAU MAX,滿級,最大レベル,최대 레벨,NIVEL MÁX.,NIVEL MÁX.,NÍVEL MÁX.,NÍVEL MÁX.,МАКС. УРОВЕНЬ
hero_detail_xp_format,XP: %d / %d,XP: %d / %d,经验：%d / %d,XP : %d / %d,經驗：%d / %d,経験値：%d / %d,경험치: %d / %d,EXP: %d / %d,EXP: %d / %d,XP: %d / %d,XP: %d / %d,Опыт: %d / %d
matchup_floor_locked_format,Clear Floor %d to unlock.,"Räume Ebene %d, um freizuschalten.",通关第 %d 层以解锁。,Franchissez l'étage %d pour débloquer.,通關第 %d 層以解鎖。,%d 階をクリアして解放。,%d층을 클리어하여 해금하세요.,Supera la planta %d para desbloquear.,Supera el piso %d para desbloquear.,Conclui o Piso %d para desbloquear.,Conclua o Andar %d para desbloquear.,"Пройдите этаж %d, чтобы открыть."
matchup_select_format,Select Floor %d — %s,Ebene %d wählen — %s,选择第 %d 层 — %s,Sélectionner l'étage %d — %s,選擇第 %d 層 — %s,%d 階を選択 — %s,%d층 선택 — %s,Elegir planta %d — %s,Elegir piso %d — %s,Selecionar Piso %d — %s,Selecionar Andar %d — %s,Выбрать этаж %d — %s
victory_biome_completed_format,%s completed!,%s abgeschlossen!,%s 已完成！,%s terminé !,%s 已完成！,%s 制覇！,%s 완료!,¡Has completado %s!,¡Completaste %s!,Concluíste %s!,%s concluída!,Регион %s пройден!
victory_continuation_prompt,Tap to continue,Zum Fortfahren tippen,点击继续,Appuyez pour continuer,點擊繼續,タップして続ける,탭하여 계속,Toca para continuar,Toca para continuar,Toca para continuar,Toque para continuar,"Нажмите, чтобы продолжить"
victory_gold_gained_format,+%d gold,+%d Gold,+%d 金币,+%d or,+%d 金幣,+%d ゴールド,+%d 골드,+%d de oro,+%d de oro,+%d de ouro,+%d de ouro,+%d золота
reward_float_level_up_format,Lv %d,St. %d,%d 级,Niv. %d,%d 級,Lv %d,Lv %d,Nv %d,Nv %d,Nv %d,Nv %d,Ур. %d
victory_headline_format,%s — Floor %d cleared,%s — Ebene %d geschafft,%s — 第 %d 层通关,%s — Étage %d franchi,%s — 第 %d 層通關,%s — %d 階クリア,%s — %d층 클리어,%s — Planta %d superada,%s — Piso %d superado,%s — Piso %d concluído,%s — Andar %d concluído,%s — этаж %d пройден
victory_level_up_format,%s reached level %d,%s hat Stufe %d erreicht,%s 升到了 %d 级,%s a atteint le niveau %d,%s 升到了 %d 級,%s がレベル %d に到達,%s이(가) %d레벨에 도달,%s ha alcanzado el nivel %d,%s alcanzó el nivel %d,%s chegou ao nível %d,%s chegou ao nível %d,%s получает уровень %d
victory_unlock_format,Floor %d now available.,Ebene %d jetzt verfügbar.,第 %d 层现已开放。,Étage %d désormais disponible.,第 %d 層現已開放。,%d 階が解放されました。,%d층이 이제 개방되었습니다.,Planta %d ya disponible.,Piso %d ya disponible.,Piso %d agora disponível.,Andar %d agora disponível.,Этаж %d теперь доступен.
class_synergy_badge_steel_wall,Steel Wall,Stahlwall,钢铁壁垒,Mur d'acier,鋼鐵壁壘,スチールウォール,강철 방벽,Muro de Acero,Muro de Acero,Muralha de Aço,Muralha de Aço,Стальная стена
class_synergy_badge_arcane_elite,Arcane Elite,Arkane Elite,奥术精英,Élite arcanique,奧術精英,アーケインエリート,비전 정예,Élite Arcana,Élite Arcana,Elite Arcana,Elite Arcana,Магическая элита
class_synergy_badge_triple_strike,Triple Strike,Dreifachschlag,三重打击,Triple frappe,三重打擊,トリプルストライク,삼연격,Triple Golpe,Triple Golpe,Golpe Triplo,Golpe Triplo,Тройной удар
class_synergy_badge_triple_threat,Triple Threat,Dreifachgefahr,三重威胁,Triple menace,三重威脅,トリプルスレット,삼중 위협,Triple Amenaza,Triple Amenaza,Tripla Ameaça,Tripla Ameaça,Тройная угроза
class_synergy_badge_bastion,Bastion,Bastion,堡垒,Bastion,堡壘,バスティオン,성채,Bastión,Bastión,Bastião,Bastião,Бастион
class_synergy_badge_volley,Volley,Salve,齐射,Volée,齊射,ボレー,일제 사격,Andanada,Andanada,Saraivada,Saraivada,Залп
class_synergy_badge_frenzy,Frenzy,Raserei,狂乱,Frénésie,狂亂,フレンジー,광란,Frenesí,Frenesí,Frenesi,Frenesi,Ярость
class_synergy_badge_vigil,Vigil,Wacht,守望,Veille,守望,ビジル,불침번,Vigilia,Vigilia,Vigília,Vigília,Дозор
class_synergy_effect_steel_wall,+25% gold vs bruisers,+25% Gold gegen Schläger,对斗士 +25% 金币,+25 % d'or contre les brutes,對鬥士 +25% 金幣,ブルーザーに対し +25% ゴールド,강타형 상대 골드 +25%,+25% de oro contra brutos,+25% de oro contra brutos,+25% de ouro vs brutamontes,+25% de ouro vs brutamontes,+25% золота против громил
class_synergy_effect_arcane_elite,+20% XP from all kills,+20% XP für alle Siege,所有击杀 +20% 经验,+20 % XP sur toutes les éliminations,所有擊殺 +20% 經驗,全ての撃破で +20% 経験値,모든 처치 시 경험치 +20%,+20% de EXP por cada baja,+20% de EXP por cada baja,+20% de XP de todos os abates,+20% de XP de todos os abates,+20% опыта за все убийства
class_synergy_effect_triple_strike,+25% gold vs armored,+25% Gold gegen Gepanzerte,对重甲 +25% 金币,+25 % d'or contre les blindés,對重甲 +25% 金幣,重装に対し +25% ゴールド,중장갑 상대 골드 +25%,+25% de oro contra acorazados,+25% de oro contra acorazados,+25% de ouro vs blindados,+25% de ouro vs blindados,+25% золота против бронированных
class_synergy_effect_triple_threat,+15% gold from all kills,+15% Gold für alle Siege,所有击杀 +15% 金币,+15 % d'or sur toutes les éliminations,所有擊殺 +15% 金幣,全ての撃破で +15% ゴールド,모든 처치 시 골드 +15%,+15% de oro por cada baja,+15% de oro por cada baja,+15% de ouro de todos os abates,+15% de ouro de todos os abates,+15% золота за все убийства
class_synergy_effect_bastion,+25% gold vs casters,+25% Gold gegen Zauberer,对施法者 +25% 金币,+25 % d'or contre les lanceurs de sorts,對施法者 +25% 金幣,キャスターに対し +25% ゴールド,시전자 상대 골드 +25%,+25% de oro contra hechiceros,+25% de oro contra hechiceros,+25% de ouro vs conjuradores,+25% de ouro vs conjuradores,+25% золота против заклинателей
class_synergy_effect_volley,+25% gold vs swarm,+25% Gold gegen Schwärme,对群集 +25% 金币,+25 % d'or contre les essaims,對群集 +25% 金幣,群れに対し +25% ゴールド,군집 상대 골드 +25%,+25% de oro contra enjambres,+25% de oro contra enjambres,+25% de ouro vs enxames,+25% de ouro vs enxames,+25% золота против роя
class_synergy_effect_frenzy,+25% gold vs bruisers,+25% Gold gegen Schläger,对斗士 +25% 金币,+25 % d'or contre les brutes,對鬥士 +25% 金幣,ブルーザーに対し +25% ゴールド,강타형 상대 골드 +25%,+25% de oro contra brutos,+25% de oro contra brutos,+25% de ouro vs brutamontes,+25% de ouro vs brutamontes,+25% золота против громил
class_synergy_effect_vigil,+20% XP from all kills,+20% XP für alle Siege,所有击杀 +20% 经验,+20 % XP sur toutes les éliminations,所有擊殺 +20% 經驗,全ての撃破で +20% 経験値,모든 처치 시 경험치 +20%,+20% de EXP por cada baja,+20% de EXP por cada baja,+20% de XP de todos os abates,+20% de XP de todos os abates,+20% опыта за все убийства
prestige_button_label,Prestige Hero,Held verabschieden,英雄荣退,Honorer le héros,英雄榮退,栄誉の引退,영웅 명예 은퇴,Jubilar héroe,Jubilar héroe,Reformar herói,Aposentar herói,Проводить на покой
prestige_confirmation_modal_body,"%s has earned their retirement. They'll join the Hall of Retired Heroes — your guild will remember them, and every future run will earn +5% more gold and XP, forever.","%s hat sich den Ruhestand verdient. Sie ziehen in die Halle der Veteranen ein — deine Gilde wird sich an sie erinnern, und jede künftige Expedition bringt für immer +5% mehr Gold und XP.",%s 已赢得荣退。他们将进入荣退英雄殿 — 你的公会会永远铭记他们，且此后每一次远征都将永久获得 +5% 的额外金币与经验。,"%s a mérité sa retraite et rejoindra le Hall des héros retraités — votre guilde s'en souviendra, et chaque future expédition rapportera à jamais +5 % d'or et d'XP supplémentaires.",%s 已贏得榮退。他們將進入榮退英雄殿 — 你的公會會永遠記得他們，且此後每一次遠征都將永久多獲得 +5% 的金幣與經驗。,%s は引退にふさわしい働きをしました。栄誉の英雄殿堂に迎えられます — ギルドは彼らを永遠に忘れません。これ以降のすべての遠征で、ゴールドと経験値が永久に +5% 増加します。,"%s이(가) 은퇴할 자격을 얻었습니다. 이들은 은퇴 영웅의 전당에 합류합니다 — 길드는 그들을 기억할 것이며, 앞으로의 모든 원정에서 골드와 경험치를 영원히 +5% 더 얻게 됩니다.","%s se ha ganado su jubilación. Se unirá al Salón de Héroes Jubilados — tu gremio lo recordará, y cada expedición futura ganará un +5% más de oro y EXP, para siempre.","%s se ganó su jubilación. Se unirá al Salón de Héroes Jubilados — tu gremio lo recordará, y cada expedición futura ganará un +5% más de oro y EXP, para siempre.","%s mereceu a sua reforma. Vai juntar-se ao Salão dos Heróis Reformados — a tua guilda vai lembrar-se dele, e todas as expedições futuras vão render +5% mais ouro e XP, para sempre.","%s mereceu sua aposentadoria. Vai se juntar ao Salão dos Heróis Aposentados — sua guilda vai se lembrar dele, e todas as expedições futuras vão render +5% mais ouro e XP, para sempre.","%s заслуживает почётной отставки. Этот герой войдёт в Зал героев на покое — гильдия будет помнить его, и каждый будущий поход навсегда будет приносить +5% золота и опыта."
prestige_confirmation_button_confirm,Prestige Hero,Held verabschieden,英雄荣退,Honorer le héros,英雄榮退,引退させる,영웅 명예 은퇴,Jubilar héroe,Jubilar héroe,Reformar herói,Aposentar herói,Проводить на покой
prestige_confirmation_button_cancel,Cancel,Abbrechen,取消,Annuler,取消,キャンセル,취소,Cancelar,Cancelar,Cancelar,Cancelar,Отмена
prestige_complete_toast,%s joined the Hall of Retired Heroes.,%s ist in die Halle der Veteranen eingezogen.,%s 已进入荣退英雄殿。,%s a rejoint le Hall des héros retraités.,%s 已進入榮退英雄殿。,%s が栄誉の英雄殿堂に加わりました。,%s이(가) 은퇴 영웅의 전당에 합류했습니다.,%s se ha unido al Salón de Héroes Jubilados.,%s se unió al Salón de Héroes Jubilados.,%s juntou-se ao Salão dos Heróis Reformados.,%s se juntou ao Salão dos Heróis Aposentados.,%s теперь в Зале героев на покое.
hall_of_retired_heroes_title,Hall of Retired Heroes,Halle der Veteranen,荣退英雄殿,Hall des héros retraités,榮退英雄殿,栄誉の英雄殿堂,은퇴 영웅의 전당,Salón de Héroes Jubilados,Salón de Héroes Jubilados,Salão dos Heróis Reformados,Salão dos Heróis Aposentados,Зал героев на покое
hall_card_metadata_format,%s · %s · Lv %d · Retired Day %d,%s · %s · St. %d · Ruhestand Tag %d,%s · %s · %d 级 · 荣退于第 %d 天,%s · %s · Niv. %d · Retraité jour %d,%s · %s · %d 級 · 榮退於第 %d 天,%s · %s · Lv %d · %d 日目に引退,%s · %s · Lv %d · 은퇴 %d일차,%s · %s · Nv %d · Jubilado el día %d,%s · %s · Nv %d · Jubilado el día %d,%s · %s · Nv %d · Reformado no Dia %d,%s · %s · Nv %d · Aposentado no Dia %d,%s · %s · Ур. %d · На покое с дня %d
prestige_disabled_active_run_tooltip,Prestige a hero between runs.,Verabschiede einen Helden zwischen zwei Expeditionen.,请在两次远征之间让英雄荣退。,Honorez un héros entre deux expéditions.,請在兩次遠征之間讓英雄榮退。,遠征の合間に英雄を引退させましょう。,원정 사이에 영웅을 은퇴시키세요.,Jubila a un héroe entre expediciones.,Jubila a un héroe entre expediciones.,Reforma um herói entre expedições.,Aposente um herói entre expedições.,Провожайте героев на покой между походами.
hall_empty_state_placeholder,No retired heroes yet.,Noch keine Veteranen.,还没有荣退的英雄。,Aucun héros retraité pour l'instant.,還沒有榮退的英雄。,まだ引退した英雄はいません。,아직 은퇴한 영웅이 없습니다.,Aún no hay héroes jubilados.,Aún no hay héroes jubilados.,Ainda não há heróis reformados.,Ainda não há heróis aposentados.,Пока нет героев на покое.
recruit_pool_empty_placeholder,The pool is rebuilding. Refresh to scout new heroes.,"Der Pool füllt sich wieder. Aktualisiere, um neue Helden zu finden.",候选池正在重建。刷新以发掘新英雄。,Le vivier se reconstitue. Actualisez pour repérer de nouveaux héros.,候選池正在重建。刷新即可發掘新英雄。,候補が再構成中です。更新して新しいヒーローを探しましょう。,후보군을 다시 채우는 중입니다. 새로고침하여 새 영웅을 탐색하세요.,La reserva se está reponiendo. Actualiza para buscar nuevos héroes.,La reserva se está reponiendo. Actualiza para buscar nuevos héroes.,A reserva está a renovar-se. Atualiza para procurar novos heróis.,A reserva está se renovando. Atualize para buscar novos heróis.,"Список пополняется. Обновите, чтобы найти новых героев."
matchup_floor_locked_tooltip_format,Clear floor %d first,Räume zuerst Ebene %d,请先通关第 %d 层,Franchissez d'abord l'étage %d,請先通關第 %d 層,先に %d 階をクリア,먼저 %d층을 클리어하세요,Primero supera la planta %d,Primero supera el piso %d,Conclui primeiro o piso %d,Conclua primeiro o andar %d,Сначала пройдите этаж %d
matchup_floor_recommended_format,Recommended: %s,Empfohlen: %s,推荐：%s,Recommandé : %s,推薦：%s,おすすめ：%s,추천: %s,Recomendado: %s,Recomendado: %s,Recomendado: %s,Recomendado: %s,Рекомендуется: %s
guild_hall_roster_tab_active,Active,Aktiv,现役,Actifs,現役,現役,현역,Activos,Activos,Ativos,Ativos,Активные
guild_hall_roster_tab_retired,Retired,Veteranen,荣退,Retraités,榮退,引退,은퇴,Jubilados,Jubilados,Reformados,Aposentados,На покое
guild_hall_all_injured_format,Your guild is recovering — ready in %s.,Deine Gilde erholt sich — bereit in %s.,你的公会正在恢复 — %s 后就绪。,Votre guilde récupère — prête dans %s.,你的公會正在恢復 — %s 後就緒。,ギルドは回復中です — %s 後に再開可能。,길드가 회복 중입니다 — %s 후 준비 완료.,Tu gremio se está recuperando — listo en %s.,Tu gremio se está recuperando — listo en %s.,A tua guilda está a recuperar — pronta em %s.,Sua guilda está se recuperando — pronta em %s.,Гильдия восстанавливается — готова через %s.
guild_hall_all_injured_no_timer,Your guild is recovering.,Deine Gilde erholt sich.,你的公会正在恢复。,Votre guilde récupère.,你的公會正在恢復。,ギルドは回復中です。,길드가 회복 중입니다.,Tu gremio se está recuperando.,Tu gremio se está recuperando.,A tua guilda está a recuperar.,Sua guilda está se recuperando.,Гильдия восстанавливается.
guild_hall_all_injured_under_minute,less than a minute,weniger als eine Minute,不到一分钟,moins d'une minute,不到一分鐘,1分未満,1분 미만,menos de un minuto,menos de un minuto,menos de um minuto,menos de um minuto,меньше минуты
pause_menu_title,Paused,Pausiert,已暂停,En pause,已暫停,一時停止中,일시정지,En pausa,En pausa,Em pausa,Pausado,Пауза
pause_menu_resume_button,Resume,Fortsetzen,继续,Reprendre,繼續,再開,계속하기,Reanudar,Reanudar,Retomar,Retomar,Продолжить
pause_menu_settings_button,Settings,Einstellungen,设置,Paramètres,設定,設定,설정,Ajustes,Configuración,Definições,Configurações,Настройки
pause_menu_quit_to_guild_hall_button,Quit to Guild Hall,Zur Gildenhalle,返回公会大厅,Quitter vers le Hall de la guilde,返回公會大廳,ギルドホールに戻る,길드 홀로 나가기,Salir al salón del gremio,Salir al salón del gremio,Sair para o Salão da Guilda,Sair para o Salão da Guilda,Выйти в Зал гильдии
settings_version_label_format,Version %s,Version %s,版本 %s,Version %s,版本 %s,バージョン %s,버전 %s,Versión %s,Versión %s,Versão %s,Versão %s,Версия %s
settings_quit_to_desktop_button,Quit to Desktop,Zum Desktop beenden,退出到桌面,Quitter vers le bureau,退出至桌面,デスクトップに戻る,바탕화면으로 종료,Salir al escritorio,Salir al escritorio,Sair para o ambiente de trabalho,Sair para a área de trabalho,Выйти на рабочий стол
synergy_preview_none_format,Synergy: %s,Synergie: %s,羁绊：%s,Synergie : %s,羈絆：%s,シナジー：%s,시너지: %s,Sinergia: %s,Sinergia: %s,Sinergia: %s,Sinergia: %s,Синергия: %s
synergy_preview_none_label,None,Keine,无,Aucune,無,なし,없음,Ninguna,Ninguna,Nenhuma,Nenhuma,Нет
synergy_tier_none,None,Keine,无,Aucune,無,なし,없음,Ninguna,Ninguna,Nenhuma,Nenhuma,Нет
synergy_tier_bronze,Bronze,Bronze,青铜,Bronze,青銅,ブロンズ,브론즈,Bronce,Bronce,Bronze,Bronze,Бронза
synergy_tier_silver,Silver,Silber,白银,Argent,白銀,シルバー,실버,Plata,Plata,Prata,Prata,Серебро
synergy_tier_gold,Gold,Gold,黄金,Or,黃金,ゴールド,골드,Oro,Oro,Ouro,Ouro,Золото
synergy_tier_platinum,Platinum,Platin,铂金,Platine,白金,プラチナ,플래티넘,Platino,Platino,Platina,Platina,Платина
synergy_preview_tiered_format,Synergy: %s (%s),Synergie: %s (%s),羁绊：%s（%s）,Synergie : %s (%s),羈絆：%s（%s）,シナジー：%s（%s）,시너지: %s (%s),Sinergia: %s (%s),Sinergia: %s (%s),Sinergia: %s (%s),Sinergia: %s (%s),Синергия: %s (%s)
synergy_preview_tiered_format_with_effect,Synergy: %s (%s) — %s,Synergie: %s (%s) — %s,羁绊：%s（%s）— %s,Synergie : %s (%s) — %s,羈絆：%s（%s）— %s,シナジー：%s（%s）— %s,시너지: %s (%s) — %s,Sinergia: %s (%s) — %s,Sinergia: %s (%s) — %s,Sinergia: %s (%s) — %s,Sinergia: %s (%s) — %s,Синергия: %s (%s) — %s
formation_presets_none_option,(none),(keine),（无）,(aucune),（無）,（なし）,(없음),(ninguna),(ninguna),(nenhuma),(nenhuma),(нет)
